2022 Winter,,,,,,,,,,,,,,,,,,,,,,,
"Generated 10/22/2021, 2:27:56 PM",,,,,,,,,,,,,,,,,,,,,,,
,SIS Class Nbr,Term,Term Code,Department Code,Course,Section #,Course Title,Section Type,Meeting Pattern,Instructor,Room,Campus,Consent,Grade Mode,Attributes,Characteristics,Maxi Enrollment,Wait Cap,Room Cap,Combined,Link To,Comments,Notes#1
,21311,2022 Winter,4850,07C30,COMP_SCI 590-0,20,Research,Thesis Research,Does Not Meet,"Memik, Gokhan (GME657) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21312,2022 Winter,4850,07C30,COMP_SCI 590-0,21,Research,Thesis Research,Does Not Meet,"Pardo, Bryan (BAP335) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21313,2022 Winter,4850,07C30,COMP_SCI 590-0,22,Research,Thesis Research,Does Not Meet,"Owsley, Sara (SHO533) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21314,2022 Winter,4850,07C30,COMP_SCI 590-0,23,Research,Thesis Research,Does Not Meet,"Riesbeck, Christopher (CKR427) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21315,2022 Winter,4850,07C30,COMP_SCI 590-0,24,Research,Thesis Research,Does Not Meet,"Hartline, Jason (JDH734) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21316,2022 Winter,4850,07C30,COMP_SCI 590-0,25,Research,Thesis Research,Does Not Meet,"Gergle, Darren (DGP461) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21317,2022 Winter,4850,07C30,COMP_SCI 590-0,26,Research,Thesis Research,Does Not Meet,"Birnholtz, Jeremy (JPB548) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21318,2022 Winter,4850,07C30,COMP_SCI 590-0,27,Research,Thesis Research,Does Not Meet,"Cossairt, Oliver (OSC156) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21319,2022 Winter,4850,07C30,COMP_SCI 590-0,28,Research,Thesis Research,Does Not Meet,"Tumblin, John (JET861) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21320,2022 Winter,4850,07C30,COMP_SCI 590-0,29,Research,Thesis Research,Does Not Meet,"Wilensky, Uriel (UJW776) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21322,2022 Winter,4850,07C30,COMP_SCI 590-0,30,Research,Thesis Research,Does Not Meet,"Argall, Brenna (BDA924) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21323,2022 Winter,4850,07C30,COMP_SCI 590-0,31,Research,Thesis Research,Does Not Meet,"Rogers, Jennie (JMD730) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21324,2022 Winter,4850,07C30,COMP_SCI 590-0,32,Research,Thesis Research,Does Not Meet,"Rubenstein, Michael (MRD914) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21325,2022 Winter,4850,07C30,COMP_SCI 590-0,33,Research,Thesis Research,Does Not Meet,"Vijayaraghavan, Aravindan (AVF717) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21326,2022 Winter,4850,07C30,COMP_SCI 590-0,34,Research,Thesis Research,Does Not Meet,"Khuller, Samir (SKL1452) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21327,2022 Winter,4850,07C30,COMP_SCI 590-0,35,Research,Thesis Research,Does Not Meet,"Alshurafa, Nabil (NIA639) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21328,2022 Winter,4850,07C30,COMP_SCI 590-0,36,Research,Thesis Research,Does Not Meet,"Piper, Anne Marie (AMH891) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21329,2022 Winter,4850,07C30,COMP_SCI 590-0,37,Research,Thesis Research,Does Not Meet,"O'Rourke, Eleanor (EMO4180) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21330,2022 Winter,4850,07C30,COMP_SCI 590-0,38,Research,Thesis Research,Does Not Meet,"Memik, Fatma (FSO745) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21331,2022 Winter,4850,07C30,COMP_SCI 590-0,39,Research,Thesis Research,Does Not Meet,"Worsley, Marcelo (MAW7434) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21333,2022 Winter,4850,07C30,COMP_SCI 590-0,40,Research,Thesis Research,Does Not Meet,"Tov, Jesse (JAT489) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21334,2022 Winter,4850,07C30,COMP_SCI 590-0,41,Research,Thesis Research,Does Not Meet,"Liu, Han (HLW3876) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21335,2022 Winter,4850,07C30,COMP_SCI 590-0,42,Research,Thesis Research,Does Not Meet,"Warren, Todd (TWA122) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21336,2022 Winter,4850,07C30,COMP_SCI 590-0,43,Research,Thesis Research,Does Not Meet,"Dimoulas, Christos (CDZ0547) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21337,2022 Winter,4850,07C30,COMP_SCI 590-0,44,Research,Thesis Research,Does Not Meet,"Van Wart, Sarah (SJW3465) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21338,2022 Winter,4850,07C30,COMP_SCI 590-0,45,Research,Thesis Research,Does Not Meet,"Wang, Xiao (XWW4713) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21347,2022 Winter,4850,07C30,COMP_SCI 590-0,46,Research,Thesis Research,Does Not Meet,"Kay, Matthew [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21346,2022 Winter,4850,07C30,COMP_SCI 590-0,47,Research,Thesis Research,Does Not Meet,"Wang, Zhaoran (ZWM7566) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21344,2022 Winter,4850,07C30,COMP_SCI 590-0,48,Research,Thesis Research,Does Not Meet,"Hullman, Jessica (JRH2668) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21345,2022 Winter,4850,07C30,COMP_SCI 590-0,49,Research,Thesis Research,Does Not Meet,"Tarzia, Stephen (SPT175) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21348,2022 Winter,4850,07C30,COMP_SCI 590-0,50,Research,Thesis Research,Does Not Meet,"Ghena, Branden [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21349,2022 Winter,4850,07C30,COMP_SCI 590-0,51,Research,Thesis Research,Does Not Meet,"Easterday, Matthew (MWE517) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
